Date,oee,productionVolume,cycleTime,downtime,yield,scrapRate,defectDensity,maintenanceCostPerUnit,inventoryTurnover,energyConsumptionPerUnit
2024-01-01,75.2,8500,58.5,11.8,93.5,5.2,22.5,11.8,10.5,16.8
2024-02-01,76.8,8750,57.2,11.2,94.1,4.9,21.8,11.4,11.1,16.2
2024-03-01,78.5,9100,55.8,10.6,94.8,4.6,21.2,11.0,11.8,15.6
2024-04-01,80.1,9350,54.2,10.0,95.4,4.3,20.5,10.6,12.4,15.0
2024-05-01,81.8,9650,52.8,9.4,96.1,4.0,19.8,10.2,13.1,14.4
2024-06-01,83.2,9900,51.5,8.8,96.7,3.7,19.2,9.8,13.7,13.8
2024-07-01,84.8,10200,50.1,8.2,97.4,3.4,18.5,9.4,14.4,13.2
2024-08-01,86.5,10500,48.8,7.6,98.0,3.1,17.8,9.0,15.0,12.6
2024-09-01,88.1,10850,47.2,7.0,98.7,2.8,17.2,8.6,15.7,12.0
2024-10-01,89.8,11150,45.8,6.4,99.3,2.5,16.5,8.2,16.3,11.4
2024-11-01,91.2,11500,44.5,5.8,99.9,2.2,15.8,7.8,17.0,10.8
2024-12-01,92.8,11800,43.1,5.2,98.6,1.9,15.2,7.4,17.6,10.2
