Date,productionVolume,productionEfficiency,downtime,cycleTime,yieldRate,reworkRate,scrapRate,capacityUtilization,oee,onTimeProductionRate
2024-01-01,16500,82.5,9.8,48.5,95.2,5.8,4.2,78.5,75.8,90.5
2024-02-01,17200,84.1,9.2,47.2,95.8,5.5,3.9,80.2,77.5,91.2
2024-03-01,17800,85.8,8.6,45.8,96.5,5.2,3.6,82.1,79.2,92.1
2024-04-01,18400,87.2,8.0,44.2,97.1,4.9,3.3,83.8,81.0,92.8
2024-05-01,19100,88.8,7.4,42.8,97.8,4.6,3.0,85.5,82.8,93.5
2024-06-01,19700,90.5,6.8,41.5,98.4,4.3,2.7,87.2,84.5,94.2
2024-07-01,20400,92.1,6.2,40.1,99.1,4.0,2.4,88.9,86.2,94.9
2024-08-01,21000,93.8,5.6,38.8,99.7,3.7,2.1,90.6,87.9,95.6
2024-09-01,21700,95.2,5.0,37.2,97.4,3.4,1.8,92.3,89.6,96.3
2024-10-01,22300,96.8,4.4,35.8,98.1,3.1,1.5,94.0,91.3,97.0
2024-11-01,23000,98.5,3.8,34.5,98.7,2.8,1.2,95.7,93.0,97.7
2024-12-01,23600,99.1,3.2,33.1,99.4,2.5,0.9,97.4,94.7,98.4
